,0,15,30,45,60,75,90,105,120,135,150,165,180,195,210,225,240,255,270,285,300,315,330,345,360,375,390,405,420,435,450,465,480,495,510,525,540,555,570,585,600,615,630,645,660,675,690,705,720,735,750,765,780,795,810,825,840,855,870,885,900,915,930,945,960,975,990,1005,1020,1035,1050,1065,1080,1095,1110,1125,1140,1155,1170,1185,1200,1215,1230,1245,1260,1275,1290,1305,1320,1335,1350,1365,1380,1395,1410,1425
10,3.948,4.17,3.997,4.096,3.997,3.8739999999999997,3.701,3.948,3.9730000000000003,4.121,3.923,4.096,4.096,3.898,4.17,3.8,4.071000000000001,3.898,3.948,3.8489999999999998,4.096,4.071000000000001,3.602,3.75,3.602,3.627,3.5780000000000003,3.5780000000000003,3.8739999999999997,3.701,3.676,3.602,3.627,3.701,3.5039999999999996,3.528,3.405,73.192,89.57799999999999,84.321,91.404,105.88600000000001,89.306,54.806999999999995,52.413999999999994,52.883,48.391000000000005,98.78200000000001,98.905,98.387,89.405,77.33800000000001,75.734,97.005,85.605,71.34100000000001,72.52600000000001,73.217,72.945,70.453,87.085,77.042,85.037,96.611,96.48700000000001,95.031,95.697,72.229,68.084,71.539,66.67699999999999,70.083,72.624,73.291,87.35700000000001,87.505,71.539,72.007,70.181,69.021,66.282,66.184,70.206,70.255,70.058,3.75,3.8,3.824,3.8,3.923,3.824,3.8,3.553,3.824,3.898,3.7260000000000004
11,3.7260000000000004,3.553,3.898,3.8489999999999998,3.8489999999999998,3.701,3.7260000000000004,3.6519999999999997,3.7260000000000004,3.75,3.602,3.676,3.775,3.602,3.75,3.602,3.701,3.627,3.676,3.5780000000000003,3.627,3.8,3.8739999999999997,4.071000000000001,4.071000000000001,3.8489999999999998,3.9730000000000003,3.8489999999999998,3.898,3.9730000000000003,3.8739999999999997,3.923,3.997,99.054,84.568,91.675,81.434,71.119,70.848,86.271,77.979,68.03399999999999,75.388,74.524,74.87,70.946,75.092,69.91,99.103,70.305,71.464,68.602,74.574,68.503,68.65100000000001,67.763,68.182,67.936,67.788,68.182,68.207,67.88600000000001,68.01,97.992,103.52,105.75200000000001,111.367,104.458,83.75399999999999,78.251,75.092,72.52600000000001,72.822,67.664,68.65100000000001,75.684,69.638,78.029,80.2,76.128,72.624,71.193,70.89699999999999,3.8,3.602,3.8,3.775,3.8489999999999998,3.6519999999999997,3.7260000000000004,3.528,3.898,3.528,3.6519999999999997,3.824,3.923
12,3.75,3.8489999999999998,3.8,3.676,3.701,3.9730000000000003,3.7260000000000004,3.701,3.948,3.824,3.627,3.5780000000000003,3.8,3.676,3.75,3.6519999999999997,3.775,3.898,3.7260000000000004,3.898,3.898,3.923,3.923,3.701,4.047,3.8489999999999998,3.9730000000000003,4.071000000000001,3.775,3.8489999999999998,3.997,3.75,3.6519999999999997,4.071000000000001,3.9730000000000003,3.8,3.8,3.8,73.01899999999999,83.926,72.452,71.267,71.34100000000001,74.253,69.46600000000001,68.454,72.279,43.57899999999999,43.233999999999995,42.29600000000001,42.173,42.099,43.16,42.37,43.481,42.617,43.456,43.678000000000004,42.099,42.986999999999995,43.57899999999999,42.074,43.382,42.049,43.036,41.951,42.938,43.184,43.135,41.778,42.049,42.617,41.605,43.16,43.06100000000001,41.70399999999999,42.518,41.852,43.184,41.852,41.678999999999995,42.938,43.283,42.074,41.753,41.975,42.666000000000004,42.0,133.137,30.328000000000003,30.772,31.215999999999998,3.701,3.824,3.701,3.8739999999999997
13,3.898,3.528,3.676,3.676,3.898,3.8489999999999998,3.701,3.75,3.8489999999999998,4.047,3.997,4.218999999999999,4.022,4.121,3.9730000000000003,3.775,3.701,4.121,4.195,3.8739999999999997,4.022,3.8739999999999997,3.75,4.071000000000001,3.948,3.898,3.8739999999999997,3.824,3.8,3.948,3.997,4.071000000000001,3.8,3.528,3.75,3.997,3.948,3.997,3.676,3.602,3.75,3.9730000000000003,3.6519999999999997,3.6519999999999997,3.75,3.775,3.676,3.923,107.446,106.911,109.094,79.509,77.979,73.389,67.516,47.626000000000005,47.256,48.56399999999999,48.836000000000006,48.638000000000005,48.145,48.268,95.45100000000001,96.611,97.524,97.45,96.339,68.256,73.118,69.17,68.182,68.133,73.685,76.079,70.65,69.145,69.17,64.999,68.627,71.292,84.346,86.69,72.748,4.17,4.121,3.9730000000000003,3.9730000000000003,3.824,4.071000000000001,3.8,3.923,4.096,3.8489999999999998,3.898,3.8739999999999997,3.948
14,3.898,4.022,3.75,4.047,3.898,3.824,4.022,3.9730000000000003,3.7260000000000004,4.022,3.948,4.17,3.8489999999999998,3.7260000000000004,3.75,3.9730000000000003,3.9730000000000003,3.7260000000000004,3.775,3.676,3.676,3.75,3.775,3.7260000000000004,3.7260000000000004,3.7260000000000004,3.7260000000000004,3.7260000000000004,3.7260000000000004,3.7260000000000004,3.7260000000000004,3.7260000000000004,3.7260000000000004,3.7260000000000004,3.7260000000000004,3.7260000000000004,3.7260000000000004,3.7260000000000004,3.7260000000000004,3.7260000000000004,3.7260000000000004,3.7260000000000004,3.7260000000000004,3.7260000000000004,106.131,104.557,104.557,104.557,104.557,104.557,104.557,104.557,104.557,78.67,77.41199999999999,67.245,78.547,71.933,83.803,81.26100000000001,75.882,70.132,70.132,70.132,70.132,70.132,70.132,70.132,70.132,69.811,69.811,71.02,71.02,71.02,71.02,71.02,71.02,71.02,71.02,71.02,71.119,70.009,69.737,69.342,70.453,69.17,70.132,65.567,69.54,69.12,69.12,69.293,69.46600000000001,69.268,4.096,3.8739999999999997
15,3.8739999999999997,4.096,4.096,3.923,3.75,3.9730000000000003,3.9730000000000003,3.923,4.121,3.701,3.9730000000000003,4.022,3.8489999999999998,3.627,3.898,3.824,3.8739999999999997,3.676,3.676,3.775,3.75,3.923,3.898,4.022,3.8,3.8489999999999998,3.75,3.602,3.7260000000000004,3.6519999999999997,3.775,3.8,3.5780000000000003,3.701,3.6519999999999997,3.5780000000000003,3.701,3.5780000000000003,11.129000000000001,85.95,106.955,106.443,104.186,100.929,99.49799999999999,76.005,72.229,74.22800000000001,70.65,81.212,71.267,71.81,84.963,70.477,70.477,72.304,70.65,70.132,71.366,73.858,71.218,71.613,70.255,72.748,78.843,81.681,69.836,77.41199999999999,77.19,71.094,70.848,72.69800000000001,66.875,68.824,75.512,70.774,82.816,78.497,80.546,84.075,73.192,70.37899999999999,75.117,69.416,75.117,73.957,66.60300000000001,69.244,72.92,69.318,69.416,70.625,84.815,65.69,65.715,3.75
16,3.676,3.923,3.8,3.898,3.627,3.5780000000000003,3.75,3.676,3.6519999999999997,3.602,3.898,3.9730000000000003,3.775,3.9730000000000003,3.898,3.948,4.022,4.022,3.948,3.898,3.775,3.8489999999999998,3.997,3.997,3.8489999999999998,3.8489999999999998,3.602,3.997,3.8,4.121,3.824,3.898,3.8489999999999998,3.824,3.9730000000000003,3.997,4.047,97.696,94.118,93.575,94.266,93.279,69.688,70.132,71.045,75.931,73.908,73.439,71.44,70.675,69.935,69.441,69.441,70.083,68.873,66.825,69.367,69.318,65.764,65.789,70.527,66.134,71.711,72.797,68.553,69.638,74.722,73.932,71.02,68.405,77.14,72.155,75.265,67.911,71.242,71.76100000000001,3.8739999999999997,3.7260000000000004,3.775,3.627,3.602,3.775,3.8,3.775,3.676,3.627,3.8739999999999997,3.6519999999999997,3.528,3.7260000000000004,3.701,3.4789999999999996,3.553,3.602,3.75,3.676
17,3.7260000000000004,3.627,3.676,3.5780000000000003,3.602,3.701,3.8739999999999997,3.824,3.5780000000000003,3.6519999999999997,3.43,3.997,3.627,3.676,3.5780000000000003,3.9730000000000003,3.8,3.775,4.022,3.7260000000000004,3.923,4.071000000000001,3.9730000000000003,59.916000000000004,81.854,63.79,62.26,57.571000000000005,55.745,57.275,55.967,55.523,56.115,55.646,55.967,55.301,69.318,68.38,83.40799999999999,87.603,71.711,67.738,72.007,69.342,43.604,42.839,43.801,42.986999999999995,42.79,43.826,42.81399999999999,42.468999999999994,42.864,43.826,42.494,42.617,42.641999999999996,42.074,42.29600000000001,43.751999999999995,43.826,42.395,43.135,43.604,42.443999999999996,79.485,87.06,84.346,74.796,73.587,75.314,79.87899999999999,71.094,90.244,63.494,63.543,71.193,68.355,79.188,96.759,68.997,72.97,68.997,3.602,3.676,3.824,3.824,3.948,3.8489999999999998,3.997,3.8,3.627,4.047,4.022,3.676,3.8
18,3.898,3.948,4.145,3.9730000000000003,3.8,4.071000000000001,4.071000000000001,3.6519999999999997,3.9730000000000003,3.6519999999999997,3.602,3.5039999999999996,3.75,3.75,3.7260000000000004,3.602,3.4539999999999997,3.8,3.775,3.75,3.8,3.4539999999999997,3.405,3.627,3.6519999999999997,3.5039999999999996,3.38,3.7260000000000004,3.676,3.8,3.8,3.43,3.5039999999999996,3.553,3.627,3.627,3.6519999999999997,71.785,78.251,70.625,70.305,69.811,71.316,68.775,67.442,93.205,80.348,75.117,73.562,72.67399999999999,69.367,69.095,68.725,68.553,69.293,86.32,79.139,69.786,68.405,68.479,69.61399999999999,68.355,68.331,86.073,82.15,79.904,79.11399999999999,81.557,80.398,73.63600000000001,72.229,79.657,74.54899999999999,68.429,70.428,72.92,79.53399999999999,74.598,76.03,72.452,65.122,66.85,56.14,55.967,56.56,55.967,55.178000000000004,55.646,56.95399999999999,55.918,55.276,55.35,56.43600000000001,55.523,56.905,55.178000000000004
19,56.18899999999999,55.498000000000005,57.621,55.571999999999996,56.485,54.955,55.449,55.227,55.597,55.67100000000001,55.178000000000004,55.301,55.67100000000001,55.326,55.326,56.214,56.43600000000001,55.843999999999994,55.301,55.424,55.571999999999996,55.276,55.375,55.424,55.375,55.326,55.498000000000005,55.424,55.843999999999994,55.523,57.67,55.449,55.326,54.806999999999995,56.708,55.104,63.592,68.232,69.145,69.762,82.742,68.84899999999999,70.033,69.811,69.441,81.089,80.274,79.09,78.572,84.075,71.539,83.95100000000001,80.694,71.464,72.92,72.6,70.428,68.725,68.059,68.429,68.997,70.132,69.589,69.367,48.342,49.033,48.86,48.145,47.946999999999996,48.762,48.391000000000005,47.972,47.207,47.232,48.613,48.12,47.281000000000006,47.552,91.33,80.176,84.79,76.128,69.244,75.98,69.564,67.343,68.256,3.923,3.775,3.701,3.701,3.8,3.997,3.9730000000000003,3.8489999999999998,3.997
